"";"DRS";"UTI_adulto_1";"UTI_adulto_2";"UTI_adulto_3";"UTI_adulto_4";"UTI_adulto_0";"UTI_adulto_total";"UTI_ped_1";"UTI_ped_2";"UTI_ped_3";"UTI_ped_4";"UTI_ped_total";"data"
"1";"DRS I - GRANDE SÃO PAULO";121;403;96;81;NA;701;4;3;2;5;14;2021-03-24
"2";"DRS II - ARAÇATUBA";NA;16;20;8;NA;44;NA;NA;NA;NA;NA;2021-03-24
"3";"DRS III - ARARAQUARA";NA;6;20;7;1;34;NA;NA;NA;NA;NA;2021-03-24
"4";"DRS IV - BAIXADA SANTISTA";1;30;7;3;NA;41;NA;NA;NA;NA;NA;2021-03-24
"5";"DRS V - BARRETOS";NA;22;10;7;NA;39;NA;NA;NA;NA;NA;2021-03-24
"6";"DRS VI - BAURU";NA;31;8;3;NA;42;NA;NA;NA;NA;NA;2021-03-24
"7";"DRS VII - CAMPINAS";98;42;25;16;NA;181;NA;NA;NA;1;1;2021-03-24
"8";"DRS VIII - FRANCA";NA;1;1;NA;NA;2;NA;NA;NA;NA;NA;2021-03-24
"9";"DRS IX - MARÍLIA";NA;38;10;3;NA;51;NA;NA;NA;NA;NA;2021-03-24
"10";"DRS X - PIRACICABA";3;19;15;6;NA;43;NA;NA;NA;NA;NA;2021-03-24
"11";"DRS XI - PRESIDENTE PRUDENTE";NA;28;1;2;NA;31;NA;NA;NA;NA;NA;2021-03-24
"12";"DRS XII - REGISTRO";NA;8;3;5;NA;16;NA;NA;NA;NA;NA;2021-03-24
"13";"DRS XIII - RIBEIRÃO PRETO";1;8;15;2;NA;26;NA;NA;NA;NA;NA;2021-03-24
"14";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;6;2;3;NA;11;NA;NA;NA;NA;NA;2021-03-24
"15";"DRS XV - SÃO JOSÉ DO RIO PRETO";NA;66;42;14;NA;122;NA;NA;NA;NA;NA;2021-03-24
"16";"DRS XVI - SOROCABA";15;48;19;23;NA;105;NA;NA;NA;NA;NA;2021-03-24
"17";"DRS XVII - TAUBATÉ";NA;15;15;8;2;40;NA;NA;NA;NA;NA;2021-03-24
"18";"DRS I - GRANDE SÃO PAULO";125;444;97;67;3;736;2;6;1;6;15;2021-03-25
"19";"DRS II - ARAÇATUBA";NA;21;20;5;NA;46;NA;NA;NA;NA;NA;2021-03-25
"20";"DRS III - ARARAQUARA";NA;7;14;5;NA;26;NA;NA;NA;NA;NA;2021-03-25
"21";"DRS IV - BAIXADA SANTISTA";1;24;19;2;NA;46;NA;1;NA;NA;1;2021-03-25
"22";"DRS V - BARRETOS";NA;25;8;5;NA;38;NA;NA;NA;NA;NA;2021-03-25
"23";"DRS VI - BAURU";NA;29;8;2;NA;39;NA;NA;NA;NA;NA;2021-03-25
"24";"DRS VII - CAMPINAS";107;52;23;13;NA;195;NA;NA;NA;1;1;2021-03-25
"25";"DRS VIII - FRANCA";NA;5;3;NA;NA;8;NA;NA;NA;NA;NA;2021-03-25
"26";"DRS IX - MARÍLIA";NA;32;14;3;NA;49;NA;NA;NA;NA;NA;2021-03-25
"27";"DRS X - PIRACICABA";2;13;13;5;NA;33;NA;NA;NA;NA;NA;2021-03-25
"28";"DRS XI - PRESIDENTE PRUDENTE";NA;21;2;1;NA;24;NA;NA;NA;NA;NA;2021-03-25
"29";"DRS XII - REGISTRO";NA;6;4;5;NA;15;NA;NA;NA;NA;NA;2021-03-25
"30";"DRS XIII - RIBEIRÃO PRETO";1;9;19;1;NA;30;NA;NA;NA;NA;NA;2021-03-25
"31";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;10;2;3;NA;15;NA;NA;NA;NA;NA;2021-03-25
"32";"DRS XV - SÃO JOSÉ DO RIO PRETO";2;82;44;9;NA;137;NA;NA;NA;NA;NA;2021-03-25
"33";"DRS XVI - SOROCABA";17;42;26;17;NA;102;NA;NA;NA;NA;NA;2021-03-25
